Speed (m/s),Order ID,Place
0.1,0,Metropolis
0.1,1,Epsom Train Station
0.1,2,Metropolis
0.2,0,Metropolis
0.2,1,The Clock Tower
0.2,2,Epsom Train Station
0.2,3,Papa Johns / Ask Italian
0.2,4,Metropolis
0.3,0,Metropolis
0.3,1,Epsom Train Station
0.3,2,The Clock Tower
0.3,3,Epsom Playhouse
0.3,4,Epsom Methodist Scout Group
0.3,5,Metropolis
0.4,0,Metropolis
0.4,1,Epsom Train Station
0.4,2,The Clock Tower
0.4,3,Pizzerium / Pizza Express
0.4,4,Epsom Playhouse
0.4,5,Epsom Methodist Scout Group
0.4,6,Epsom Town Hall
0.4,7,Metropolis
0.5,0,Metropolis
0.5,1,Dominos (Epsom)
0.5,2,Epsom Odeon
0.5,3,Epsom Town Hall
0.5,4,Epsom Methodist Scout Group
0.5,5,Epsom Playhouse
0.5,6,The Clock Tower
0.5,7,Epsom Train Station
0.5,8,Metropolis
0.6,0,Metropolis
0.6,1,Epsom Train Station
0.6,2,The Clock Tower
0.6,3,Epsom Playhouse
0.6,4,Epsom Methodist Scout Group
0.6,5,Epsom Town Hall
0.6,6,Epsom Odeon
0.6,7,Dominos (Epsom)
0.6,8,Opposite Pets at Home
0.6,9,Metropolis
0.7,0,Metropolis
0.7,1,Opposite Pets at Home
0.7,2,Dominos (Epsom)
0.7,3,Epsom Odeon
0.7,4,Epsom Town Hall
0.7,5,Epsom Methodist Scout Group
0.7,6,Epsom Playhouse
0.7,7,The Clock Tower
0.7,8,Epsom Train Station
0.7,9,Metropolis
0.8,0,Metropolis
0.8,1,Epsom Train Station
0.8,2,The Clock Tower
0.8,3,Epsom Playhouse
0.8,4,Epsom Methodist Scout Group
0.8,5,Epsom Town Hall
0.8,6,Epsom Odeon
0.8,7,Dominos (Epsom)
0.8,8,Opposite Pets at Home
0.8,9,Metropolis
0.9,0,Metropolis
0.9,1,Epsom Train Station
0.9,2,The Clock Tower
0.9,3,Epsom Playhouse
0.9,4,Epsom Hospital
0.9,5,Opposite Roseberry Park
0.9,6,Epsom Methodist Scout Group
0.9,7,Epsom Town Hall
0.9,8,Epsom Odeon
0.9,9,Dominos (Epsom)
0.9,10,Metropolis
1,0,Metropolis
1,1,Epsom Train Station
1,2,The Clock Tower
1,3,Epsom Playhouse
1,4,Epsom Hospital
1,5,Opposite Roseberry Park
1,6,Epsom Methodist Scout Group
1,7,Epsom Town Hall
1,8,Epsom Odeon
1,9,Dominos (Epsom)
1,10,Metropolis
1.1,0,Metropolis
1.1,1,Dominos (Epsom)
1.1,2,Epsom Odeon
1.1,3,Epsom Town Hall
1.1,4,Epsom Methodist Scout Group
1.1,5,Opposite Roseberry Park
1.1,6,Epsom Hospital
1.1,7,Epsom Playhouse
1.1,8,The Clock Tower
1.1,9,Epsom Train Station
1.1,10,Metropolis
1.2,0,Metropolis
1.2,1,Glyn School
1.2,2,Opposite Pets at Home
1.2,3,Dominos (Epsom)
1.2,4,Epsom Odeon
1.2,5,Epsom Town Hall
1.2,6,Epsom Methodist Scout Group
1.2,7,Epsom Playhouse
1.2,8,The Clock Tower
1.2,9,Epsom Train Station
1.2,10,Metropolis
1.3,0,Metropolis
1.3,1,Opposite Pets at Home
1.3,2,Dominos (Epsom)
1.3,3,Epsom Odeon
1.3,4,Epsom Town Hall
1.3,5,Epsom Methodist Scout Group
1.3,6,Epsom Playhouse
1.3,7,Epsom Hospital
1.3,8,Jolly Cooper Pub
1.3,9,The Clock Tower
1.3,10,Epsom Train Station
1.3,11,Metropolis
1.4,0,Metropolis
1.4,1,Epsom Methodist Scout Group
1.4,2,Epsom Playhouse
1.4,3,Epsom Hospital
1.4,4,Epsom Well
1.4,5,Jolly Cooper Pub
1.4,6,Pizzerium / Pizza Express
1.4,7,The Clock Tower
1.4,8,Epsom Train Station
1.4,9,Metropolis
1.5,0,Metropolis
1.5,1,Epsom Methodist Scout Group
1.5,2,Opposite Roseberry Park
1.5,3,Epsom Playhouse
1.5,4,Epsom Hospital
1.5,5,Epsom Well
1.5,6,Jolly Cooper Pub
1.5,7,Pizzerium / Pizza Express
1.5,8,The Clock Tower
1.5,9,Epsom Train Station
1.5,10,Metropolis
1.6,0,Metropolis
1.6,1,Epsom Train Station
1.6,2,The Clock Tower
1.6,3,Jolly Cooper Pub
1.6,4,Epsom Well
1.6,5,Epsom Hospital
1.6,6,Epsom Playhouse
1.6,7,Epsom Methodist Scout Group
1.6,8,Dominos (Epsom)
1.6,9,Epsom Odeon
1.6,10,Opposite Pets at Home
1.6,11,Metropolis
1.7,0,Metropolis
1.7,1,Opposite Pets at Home
1.7,2,Dominos (Epsom)
1.7,3,Epsom Odeon
1.7,4,Epsom Town Hall
1.7,5,Epsom Methodist Scout Group
1.7,6,Epsom Playhouse
1.7,7,Epsom Hospital
1.7,8,Epsom Well
1.7,9,Jolly Cooper Pub
1.7,10,The Clock Tower
1.7,11,Epsom Train Station
1.7,12,Metropolis
1.8,0,Metropolis
1.8,1,Opposite Pets at Home
1.8,2,Dominos (Epsom)
1.8,3,Epsom Odeon
1.8,4,Epsom Town Hall
1.8,5,Epsom Methodist Scout Group
1.8,6,Epsom Playhouse
1.8,7,Epsom Hospital
1.8,8,Epsom Well
1.8,9,Jolly Cooper Pub
1.8,10,The Clock Tower
1.8,11,Epsom Train Station
1.8,12,Metropolis
1.9,0,Metropolis
1.9,1,Epsom Train Station
1.9,2,The Clock Tower
1.9,3,Jolly Cooper Pub
1.9,4,Epsom Well
1.9,5,Epsom Hospital
1.9,6,Epsom Playhouse
1.9,7,Epsom Methodist Scout Group
1.9,8,Epsom Town Hall
1.9,9,Epsom Odeon
1.9,10,Dominos (Epsom)
1.9,11,Opposite Pets at Home
1.9,12,Metropolis
2,0,Metropolis
2,1,Epsom Train Station
2,2,The Clock Tower
2,3,Epsom Playhouse
2,4,Epsom Methodist Scout Group
2,5,Epsom Town Hall
2,6,Epsom Odeon
2,7,Glyn School
2,8,Ewell West Train Station
2,9,The Watch House
2,10,Ntunetta (Ewell)
2,11,Ewell East Train Station
2,12,Opposite Pets at Home
2,13,Metropolis
2.1,0,Metropolis
2.1,1,Glyn School
2.1,2,Ewell West Train Station
2.1,3,The Watch House
2.1,4,Ewell East Train Station
2.1,5,Nescott College
2.1,6,Opposite Pets at Home
2.1,7,Dominos (Epsom)
2.1,8,Epsom Odeon
2.1,9,Epsom Town Hall
2.1,10,Epsom Methodist Scout Group
2.1,11,Epsom Playhouse
2.1,12,The Clock Tower
2.1,13,Epsom Train Station
2.1,14,Metropolis
2.2,0,Metropolis
2.2,1,Epsom Train Station
2.2,2,The Clock Tower
2.2,3,Little Acres Lodge
2.2,4,Epsom Well
2.2,5,Jolly Cooper Pub
2.2,6,Epsom Hospital
2.2,7,Epsom Playhouse
2.2,8,Epsom Methodist Scout Group
2.2,9,Epsom Town Hall
2.2,10,Epsom Odeon
2.2,11,Dominos (Epsom)
2.2,12,Metropolis
2.3,0,Metropolis
2.3,1,Opposite Pets at Home
2.3,2,Epsom Odeon
2.3,3,Dominos (Epsom)
2.3,4,Epsom Methodist Scout Group
2.3,5,Epsom Playhouse
2.3,6,Epsom Hospital
2.3,7,Jolly Cooper Pub
2.3,8,Epsom Well
2.3,9,Little Acres Lodge
2.3,10,The Clock Tower
2.3,11,Epsom Train Station
2.3,12,Metropolis
2.4,0,Metropolis
2.4,1,Epsom Train Station
2.4,2,The Clock Tower
2.4,3,Little Acres Lodge
2.4,4,Epsom Well
2.4,5,Jolly Cooper Pub
2.4,6,Epsom Hospital
2.4,7,Epsom Playhouse
2.4,8,Epsom Methodist Scout Group
2.4,9,Epsom Town Hall
2.4,10,Epsom Odeon
2.4,11,Dominos (Epsom)
2.4,12,Opposite Pets at Home
2.4,13,Metropolis
2.5,0,Metropolis
2.5,1,Epsom Train Station
2.5,2,Opposite Pets at Home
2.5,3,Ewell East Train Station
2.5,4,Ntunetta (Ewell)
2.5,5,The Watch House
2.5,6,Stoneleigh Train Station
2.5,7,Ewell West Train Station
2.5,8,Glyn School
2.5,9,Metropolis
2.6,0,Metropolis
2.6,1,Nescott College
2.6,2,Ewell East Train Station
2.6,3,Ntunetta (Ewell)
2.6,4,The Watch House
2.6,5,Stoneleigh Train Station
2.6,6,Ewell West Train Station
2.6,7,Glyn School
2.6,8,Opposite Pets at Home
2.6,9,Epsom Train Station
2.6,10,Metropolis
2.7,0,Metropolis
2.7,1,Opposite Pets at Home
2.7,2,Nescott College
2.7,3,Ewell East Train Station
2.7,4,Ntunetta (Ewell)
2.7,5,The Watch House
2.7,6,Stoneleigh Train Station
2.7,7,Ewell West Train Station
2.7,8,Ewell Rainsters Scout Group
2.7,9,Glyn School
2.7,10,Epsom Train Station
2.7,11,Metropolis
2.8,0,Metropolis
2.8,1,Epsom Train Station
2.8,2,The Clock Tower
2.8,3,Epsom Playhouse
2.8,4,Epsom Methodist Scout Group
2.8,5,Epsom Odeon
2.8,6,Dominos (Epsom)
2.8,7,Glyn School
2.8,8,Ewell West Train Station
2.8,9,Stoneleigh Train Station
2.8,10,The Watch House
2.8,11,Ewell East Train Station
2.8,12,Opposite Pets at Home
2.8,13,Metropolis
2.9,0,Metropolis
2.9,1,Nescott College
2.9,2,Ewell East Train Station
2.9,3,The Watch House
2.9,4,Stoneleigh Train Station
2.9,5,Ewell West Train Station
2.9,6,Glyn School
2.9,7,Opposite Pets at Home
2.9,8,Dominos (Epsom)
2.9,9,Epsom Odeon
2.9,10,Epsom Methodist Scout Group
2.9,11,Epsom Playhouse
2.9,12,The Clock Tower
2.9,13,Epsom Train Station
2.9,14,Metropolis
3,0,Metropolis
3,1,Opposite Pets at Home
3,2,Nescott College
3,3,Ewell East Train Station
3,4,Stoneleigh Train Station
3,5,Ewell Court House
3,6,Danetree Primary School
3,7,Ewell West Train Station
3,8,Glyn School
3,9,Epsom Train Station
3,10,Metropolis
3.1,0,Metropolis
3.1,1,Epsom Train Station
3.1,2,Glyn School
3.1,3,Ewell West Train Station
3.1,4,Tops Pizza (Chessington Road)
3.1,5,Danetree Primary School
3.1,6,Ewell Court House
3.1,7,Stoneleigh Train Station
3.1,8,The Watch House
3.1,9,Ewell East Train Station
3.1,10,Nescott College
3.1,11,Opposite Pets at Home
3.1,12,Metropolis
3.2,0,Metropolis
3.2,1,Glyn School
3.2,2,Ewell West Train Station
3.2,3,Ewell Court House
3.2,4,Stoneleigh Train Station
3.2,5,Nonsuch Mansion House
3.2,6,Nonsuch
3.2,7,Ewell East Train Station
3.2,8,Ntunetta (Ewell)
3.2,9,The Watch House
3.2,10,Opposite Pets at Home
3.2,11,Epsom Train Station
3.2,12,Metropolis
3.3,0,Metropolis
3.3,1,Epsom Train Station
3.3,2,The Clock Tower
3.3,3,Opposite Pets at Home
3.3,4,The Watch House
3.3,5,Ntunetta (Ewell)
3.3,6,Ewell East Train Station
3.3,7,Nonsuch
3.3,8,Nonsuch Mansion House
3.3,9,Stoneleigh Train Station
3.3,10,Ewell Court House
3.3,11,Ewell West Train Station
3.3,12,Ewell Rainsters Scout Group
3.3,13,Glyn School
3.3,14,Metropolis
3.4,0,Metropolis
3.4,1,Epsom Train Station
3.4,2,Epsom Air Scouts
3.4,3,Danetree Primary School
3.4,4,Ewell Court House
3.4,5,Stoneleigh Train Station
3.4,6,Nonsuch Mansion House
3.4,7,Nonsuch
3.4,8,Ewell East Train Station
3.4,9,Ntunetta (Ewell)
3.4,10,The Watch House
3.4,11,Ewell West Train Station
3.4,12,Glyn School
3.4,13,Opposite Pets at Home
3.4,14,Metropolis
3.5,0,Metropolis
3.5,1,Epsom Train Station
3.5,2,Epsom Air Scouts
3.5,3,Harrier Centre
3.5,4,Ewell Court House
3.5,5,Stoneleigh Train Station
3.5,6,Nonsuch Mansion House
3.5,7,Nonsuch
3.5,8,Ewell East Train Station
3.5,9,Ntunetta (Ewell)
3.5,10,The Watch House
3.5,11,Ewell West Train Station
3.5,12,Nova Forca
3.5,13,Metropolis
3.6,0,Metropolis
3.6,1,Epsom Train Station
3.6,2,Epsom Air Scouts
3.6,3,Danetree Primary School
3.6,4,Ewell Court House
3.6,5,Stoneleigh Train Station
3.6,6,Nonsuch Mansion House
3.6,7,Nonsuch
3.6,8,Ewell East Train Station
3.6,9,Nescott College
3.6,10,Ntunetta (Ewell)
3.6,11,The Watch House
3.6,12,Ewell West Train Station
3.6,13,Glyn School
3.6,14,Opposite Pets at Home
3.6,15,Metropolis
3.7,0,Metropolis
3.7,1,Opposite Pets at Home
3.7,2,Glyn School
3.7,3,Ewell West Train Station
3.7,4,The Watch House
3.7,5,Ntunetta (Ewell)
3.7,6,Nescott College
3.7,7,Ewell East Train Station
3.7,8,Nonsuch
3.7,9,Nonsuch Mansion House
3.7,10,Stoneleigh Train Station
3.7,11,Ewell Court House
3.7,12,Danetree Primary School
3.7,13,Adventure Golf
3.7,14,Epsom Air Scouts
3.7,15,Epsom Train Station
3.7,16,Metropolis
3.8,0,Metropolis
3.8,1,Epsom Train Station
3.8,2,The Clock Tower
3.8,3,Epsom Playhouse
3.8,4,Epsom Methodist Scout Group
3.8,5,Dominos (Epsom)
3.8,6,Epsom Odeon
3.8,7,Opposite Pets at Home
3.8,8,The Watch House
3.8,9,Ewell East Train Station
3.8,10,Nonsuch
3.8,11,Nonsuch Mansion House
3.8,12,Stoneleigh Train Station
3.8,13,Ewell Court House
3.8,14,Harrier Centre
3.8,15,Ewell West Train Station
3.8,16,Nova Forca
3.8,17,Metropolis
3.9,0,Metropolis
3.9,1,Epsom Train Station
3.9,2,Danetree Primary School
3.9,3,Harrier Centre
3.9,4,Ewell Court House
3.9,5,Stoneleigh Train Station
3.9,6,Nonsuch Mansion House
3.9,7,Nonsuch
3.9,8,Ewell East Train Station
3.9,9,Nescott College
3.9,10,Ntunetta (Ewell)
3.9,11,The Watch House
3.9,12,Ewell West Train Station
3.9,13,Nova Forca
3.9,14,Glyn School
3.9,15,Opposite Pets at Home
3.9,16,Metropolis
4,0,Metropolis
4,1,Epsom Train Station
4,2,Long Grove Skate Park
4,3,Hobbledown Farm
4,4,Adventure Golf
4,5,Danetree Primary School
4,6,Ewell Court House
4,7,Stoneleigh Train Station
4,8,Nonsuch Mansion House
4,9,Nonsuch
4,10,Ewell East Train Station
4,11,Nescott College
4,12,Ntunetta (Ewell)
4,13,The Watch House
4,14,Ewell West Train Station
4,15,Glyn School
4,16,Opposite Pets at Home
4,17,Metropolis
4.1,0,Metropolis
4.1,1,Epsom Train Station
4.1,2,Long Grove Skate Park
4.1,3,Hobbledown Farm
4.1,4,Adventure Golf
4.1,5,Danetree Primary School
4.1,6,Ewell Court House
4.1,7,Stoneleigh Train Station
4.1,8,Nonsuch Mansion House
4.1,9,Nonsuch
4.1,10,Ewell East Train Station
4.1,11,Nescott College
4.1,12,Ntunetta (Ewell)
4.1,13,The Watch House
4.1,14,Ewell West Train Station
4.1,15,Ewell Rainsters Scout Group
4.1,16,Glyn School
4.1,17,Opposite Pets at Home
4.1,18,Metropolis
4.2,0,Metropolis
4.2,1,Nova Forca
4.2,2,Ewell West Train Station
4.2,3,Danetree Primary School
4.2,4,Harrier Centre
4.2,5,Ewell Court House
4.2,6,Stoneleigh Train Station
4.2,7,Nonsuch Mansion House
4.2,8,Nonsuch
4.2,9,The Watch House
4.2,10,Ewell East Train Station
4.2,11,Nescott College
4.2,12,Glyn School
4.2,13,Opposite Pets at Home
4.2,14,Dominos (Epsom)
4.2,15,Epsom Odeon
4.2,16,Epsom Playhouse
4.2,17,The Clock Tower
4.2,18,Epsom Train Station
4.2,19,Metropolis
4.3,0,Metropolis
4.3,1,Epsom Train Station
4.3,2,The Clock Tower
4.3,3,Epsom Playhouse
4.3,4,Epsom Methodist Scout Group
4.3,5,Epsom Town Hall
4.3,6,Epsom Odeon
4.3,7,Opposite Pets at Home
4.3,8,Glyn School
4.3,9,Nescott College
4.3,10,Ewell East Train Station
4.3,11,The Watch House
4.3,12,Nonsuch
4.3,13,Nonsuch Mansion House
4.3,14,Stoneleigh Train Station
4.3,15,Ewell Court House
4.3,16,Harrier Centre
4.3,17,Danetree Primary School
4.3,18,Tops Pizza (Chessington Road)
4.3,19,Ewell West Train Station
4.3,20,Nova Forca
4.3,21,Metropolis
4.4,0,Metropolis
4.4,1,Epsom Train Station
4.4,2,Long Grove Skate Park
4.4,3,Hobbledown Farm
4.4,4,Adventure Golf
4.4,5,Danetree Primary School
4.4,6,Harrier Centre
4.4,7,Ewell Court House
4.4,8,Stoneleigh Train Station
4.4,9,Nonsuch Mansion House
4.4,10,Nonsuch
4.4,11,Ewell East Train Station
4.4,12,Nescott College
4.4,13,Ntunetta (Ewell)
4.4,14,The Watch House
4.4,15,Ewell West Train Station
4.4,16,Nova Forca
4.4,17,Glyn School
4.4,18,Opposite Pets at Home
4.4,19,Metropolis
4.5,0,Metropolis
4.5,1,Epsom Train Station
4.5,2,Epsom Air Scouts
4.5,3,Long Grove Skate Park
4.5,4,Hobbledown Farm
4.5,5,Adventure Golf
4.5,6,Danetree Primary School
4.5,7,Harrier Centre
4.5,8,Ewell Court House
4.5,9,Stoneleigh Train Station
4.5,10,Nonsuch Mansion House
4.5,11,Nonsuch
4.5,12,Ewell East Train Station
4.5,13,Nescott College
